######## gamma=0.003 T_free=14 ########
  0.003 |    0.4782    2.4102 |       1.0000     -0.8870     -0.8870
######## gamma=0.003 T_free=30 ########
  0.003 |    0.4782    2.3798 |       1.0000     -0.8865     -0.8866
######## gamma=0.003 T_free=60 ########
  0.003 |    0.4782    2.4531 |       1.0000     -0.8897     -0.8897
######## gamma=0.003 T_free=120 ########
  0.003 |    0.4782    2.3904 |       1.0000     -0.8806     -0.8807
######## gamma=0.01 T_free=14 ########
   0.01 |    0.4782    0.4088 |       1.0000      0.9165      0.9165
######## gamma=0.01 T_free=30 ########
   0.01 |    0.4782    0.4098 |       1.0000      0.9415      0.9415
######## gamma=0.01 T_free=60 ########
   0.01 |    0.4782    0.4121 |       1.0000      0.9031      0.9031
######## gamma=0.01 T_free=120 ########
   0.01 |    0.4782    0.4154 |       1.0000      0.9091      0.9091
######## gamma=0.03 T_free=14 ########
   0.03 |    0.4782    0.4807 |       1.0000      0.9920      0.9920
######## gamma=0.03 T_free=30 ########
   0.03 |    0.4782    0.4914 |       1.0000      0.9932      0.9932
######## gamma=0.03 T_free=60 ########
   0.03 |    0.4782    0.4813 |       1.0000      0.9926      0.9926
######## gamma=0.03 T_free=120 ########
   0.03 |    0.4782    0.4827 |       1.0000      0.9973      0.9973
Exit code: 0
