######## gamma=0.05 T_free=5 ########
   0.05 |    0.3237    0.8385 |       1.0000     -0.9746     -0.9747
######## gamma=0.05 T_free=6 ########
   0.05 |    0.3237    0.3474 |       1.0000     -0.9500     -0.9501
######## gamma=0.05 T_free=7 ########
   0.05 |    0.3237    0.0785 |       1.0000     -0.6073     -0.6075
######## gamma=0.05 T_free=8 ########
   0.05 |    0.3237    0.1178 |       1.0000      0.9550      0.9550
######## gamma=0.05 T_free=9 ########
   0.05 |    0.3237    0.2071 |       1.0000      0.9954      0.9954
######## gamma=0.05 T_free=10 ########
   0.05 |    0.3237    0.2570 |       1.0000      0.9988      0.9988
######## gamma=0.05 T_free=12 ########
   0.05 |    0.3237    0.3003 |       1.0000      0.9997      0.9997
######## gamma=0.05 T_free=14 ########
   0.05 |    0.3237    0.3109 |       1.0000      0.9998      0.9998
######## gamma=0.05 T_free=20 ########
   0.05 |    0.3237    0.3154 |       1.0000      0.9998      0.9998
######## gamma=0.05 T_free=30 ########
   0.05 |    0.3237    0.3152 |       1.0000      0.9998      0.9998
######## gamma=0.005 T_free=5 ########
  0.005 |    0.3232    1.8822 |       1.0000     -0.9733     -0.9733
######## gamma=0.005 T_free=6 ########
  0.005 |    0.3232    1.3632 |       1.0000     -0.9609     -0.9609
######## gamma=0.005 T_free=7 ########
  0.005 |    0.3232    1.0652 |       1.0000     -0.9434     -0.9434
######## gamma=0.005 T_free=8 ########
  0.005 |    0.3232    0.8873 |       1.0000     -0.9256     -0.9256
######## gamma=0.005 T_free=9 ########
  0.005 |    0.3232    0.8089 |       1.0000     -0.9106     -0.9106
######## gamma=0.005 T_free=10 ########
  0.005 |    0.3232    0.7721 |       1.0000     -0.9011     -0.9011
######## gamma=0.005 T_free=12 ########
  0.005 |    0.3232    0.7245 |       1.0000     -0.8927     -0.8927
######## gamma=0.005 T_free=14 ########
  0.005 |    0.3232    0.7190 |       1.0000     -0.8908     -0.8909
######## gamma=0.005 T_free=20 ########
  0.005 |    0.3232    0.7275 |       1.0000     -0.8927     -0.8927
######## gamma=0.005 T_free=30 ########
  0.005 |    0.3232    0.7240 |       1.0000     -0.8913     -0.8913
Exit code: 0
