######## f64 gamma=0.001 T_free=5 ########
  0.001 |    0.3412    0.8421 |       1.0000     -0.8852     -0.8852
######## f64 gamma=0.001 T_free=6 ########
  0.001 |    0.3412    0.3585 |       1.0000     -0.7718     -0.7718
######## f64 gamma=0.001 T_free=7 ########
  0.001 |    0.3412    0.1612 |       1.0000      0.0100      0.0100
######## f64 gamma=0.001 T_free=8 ########
  0.001 |    0.3412    0.1790 |       1.0000      0.7063      0.7063
######## f64 gamma=0.001 T_free=9 ########
  0.001 |    0.3412    0.2372 |       1.0000      0.9410      0.9410
######## f64 gamma=0.001 T_free=10 ########
  0.001 |    0.3412    0.2798 |       1.0000      0.9894      0.9894
######## f64 gamma=0.001 T_free=12 ########
  0.001 |    0.3412    0.3192 |       1.0000      0.9994      0.9994
######## f64 gamma=0.001 T_free=14 ########
  0.001 |    0.3412    0.3311 |       1.0000      1.0000      1.0000
######## f64 gamma=0.001 T_free=20 ########
  0.001 |    0.3412    0.3357 |       1.0000      1.0000      1.0000
######## f64 gamma=0.001 T_free=30 ########
  0.001 |    0.3412    0.3358 |       1.0000      1.0000      1.0000
######## f64 gamma=0.01 T_free=5 ########
   0.01 |    0.3412    0.8421 |       1.0000     -0.8852     -0.8852
######## f64 gamma=0.01 T_free=6 ########
   0.01 |    0.3412    0.3585 |       1.0000     -0.7719     -0.7719
######## f64 gamma=0.01 T_free=7 ########
   0.01 |    0.3412    0.1612 |       1.0000      0.0099      0.0099
######## f64 gamma=0.01 T_free=8 ########
   0.01 |    0.3412    0.1790 |       1.0000      0.7062      0.7062
######## f64 gamma=0.01 T_free=9 ########
   0.01 |    0.3412    0.2372 |       1.0000      0.9410      0.9410
######## f64 gamma=0.01 T_free=10 ########
   0.01 |    0.3412    0.2798 |       1.0000      0.9894      0.9894
######## f64 gamma=0.01 T_free=12 ########
   0.01 |    0.3412    0.3191 |       1.0000      0.9994      0.9994
######## f64 gamma=0.01 T_free=14 ########
   0.01 |    0.3412    0.3310 |       1.0000      1.0000      1.0000
######## f64 gamma=0.01 T_free=20 ########
   0.01 |    0.3412    0.3357 |       1.0000      1.0000      1.0000
######## f64 gamma=0.01 T_free=30 ########
   0.01 |    0.3412    0.3358 |       1.0000      1.0000      1.0000
######## f64 gamma=0.05 T_free=5 ########
   0.05 |    0.3412    0.8421 |       1.0000     -0.8853     -0.8852
######## f64 gamma=0.05 T_free=6 ########
   0.05 |    0.3412    0.3585 |       1.0000     -0.7720     -0.7720
######## f64 gamma=0.05 T_free=7 ########
   0.05 |    0.3412    0.1612 |       1.0000      0.0098      0.0098
######## f64 gamma=0.05 T_free=8 ########
   0.05 |    0.3412    0.1790 |       1.0000      0.7058      0.7058
######## f64 gamma=0.05 T_free=9 ########
   0.05 |    0.3412    0.2371 |       1.0000      0.9408      0.9408
######## f64 gamma=0.05 T_free=10 ########
   0.05 |    0.3412    0.2797 |       1.0000      0.9893      0.9894
######## f64 gamma=0.05 T_free=12 ########
   0.05 |    0.3412    0.3190 |       1.0000      0.9994      0.9994
######## f64 gamma=0.05 T_free=14 ########
   0.05 |    0.3412    0.3309 |       1.0000      0.9999      0.9999
######## f64 gamma=0.05 T_free=20 ########
   0.05 |    0.3412    0.3356 |       1.0000      1.0000      1.0000
######## f64 gamma=0.05 T_free=30 ########
   0.05 |    0.3412    0.3357 |       1.0000      1.0000      1.0000
######## f64 gamma=0.1 T_free=5 ########
    0.1 |    0.3411    0.8420 |       1.0000     -0.8853     -0.8853
######## f64 gamma=0.1 T_free=6 ########
    0.1 |    0.3411    0.3585 |       1.0000     -0.7721     -0.7721
######## f64 gamma=0.1 T_free=7 ########
    0.1 |    0.3411    0.1613 |       1.0000      0.0102      0.0103
######## f64 gamma=0.1 T_free=8 ########
    0.1 |    0.3411    0.1791 |       1.0000      0.7053      0.7053
######## f64 gamma=0.1 T_free=9 ########
    0.1 |    0.3411    0.2371 |       1.0000      0.9406      0.9406
######## f64 gamma=0.1 T_free=10 ########
    0.1 |    0.3411    0.2797 |       1.0000      0.9892      0.9892
######## f64 gamma=0.1 T_free=12 ########
    0.1 |    0.3411    0.3190 |       1.0000      0.9993      0.9993
######## f64 gamma=0.1 T_free=14 ########
    0.1 |    0.3411    0.3309 |       1.0000      0.9999      0.9999
######## f64 gamma=0.1 T_free=20 ########
