######## gamma=0.01 beta=3.0 T_free=6 ########
   0.01 |    0.3232    0.6206 |       1.0000     -0.8478     -0.8478
######## gamma=0.01 beta=3.0 T_free=7 ########
   0.01 |    0.3232    0.4439 |       1.0000     -0.6237     -0.6237
######## gamma=0.01 beta=3.0 T_free=8 ########
   0.01 |    0.3232    0.2905 |       1.0000     -0.1627     -0.1628
######## gamma=0.01 beta=3.0 T_free=9 ########
   0.01 |    0.3232    0.2809 |       1.0000      0.0412      0.0412
######## gamma=0.01 beta=3.0 T_free=10 ########
   0.01 |    0.3232    0.3053 |       1.0000      0.3879      0.3879
######## gamma=0.01 beta=100.0 T_free=6 ########
   0.01 |    0.3232    0.5731 |       1.0000     -0.9052     -0.9053
######## gamma=0.01 beta=100.0 T_free=7 ########
   0.01 |    0.3232    0.3203 |       1.0000     -0.7192     -0.7192
######## gamma=0.01 beta=100.0 T_free=8 ########
   0.01 |    0.3232    0.2229 |       1.0000     -0.2947     -0.2947
######## gamma=0.01 beta=100.0 T_free=9 ########
   0.01 |    0.3232    0.2096 |       1.0000      0.1210      0.1210
######## gamma=0.01 beta=100.0 T_free=10 ########
   0.01 |    0.3232    0.2194 |       1.0000      0.3377      0.3377
######## gamma=0.1 beta=3.0 T_free=6 ########
    0.1 |    0.3241    0.3561 |       1.0000     -0.9484     -0.9485
######## gamma=0.1 beta=3.0 T_free=7 ########
    0.1 |    0.3241    0.0858 |       1.0000     -0.6213     -0.6216
######## gamma=0.1 beta=3.0 T_free=8 ########
    0.1 |    0.3241    0.1132 |       1.0000      0.9268      0.9267
######## gamma=0.1 beta=3.0 T_free=9 ########
    0.1 |    0.3241    0.2042 |       1.0000      0.9871      0.9871
######## gamma=0.1 beta=3.0 T_free=10 ########
    0.1 |    0.3241    0.2631 |       1.0000      0.9957      0.9957
######## gamma=0.1 beta=100.0 T_free=6 ########
    0.1 |    0.3240    0.3490 |       1.0000     -0.9519     -0.9520
######## gamma=0.1 beta=100.0 T_free=7 ########
    0.1 |    0.3241    0.0771 |       1.0000     -0.6172     -0.6175
######## gamma=0.1 beta=100.0 T_free=8 ########
    0.1 |    0.3241    0.1194 |       1.0000      0.9605      0.9604
######## gamma=0.1 beta=100.0 T_free=9 ########
    0.1 |    0.3241    0.2067 |       1.0000      0.9959      0.9959
######## gamma=0.1 beta=100.0 T_free=10 ########
    0.1 |    0.3241    0.2569 |       1.0000      0.9990      0.9990
######## gamma=10.0 beta=3.0 T_free=6 ########
   10.0 |    0.3191    0.3635 |       1.0000     -0.9489     -0.9485
######## gamma=10.0 beta=3.0 T_free=7 ########
   10.0 |    0.3191    0.0932 |       1.0000     -0.6760     -0.6750
######## gamma=10.0 beta=3.0 T_free=8 ########
   10.0 |    0.3191    0.1066 |       1.0000      0.9177      0.9183
######## gamma=10.0 beta=3.0 T_free=9 ########
   10.0 |    0.3191    0.1908 |       1.0000      0.9874      0.9877
######## gamma=10.0 beta=3.0 T_free=10 ########
   10.0 |    0.3191    0.2401 |       1.0000      0.9947      0.9948
######## gamma=10.0 beta=100.0 T_free=6 ########
   10.0 |    0.3191    0.4159 |       1.0000     -0.9593     -0.9590
######## gamma=10.0 beta=100.0 T_free=7 ########
   10.0 |    0.3191    0.1314 |       1.0000     -0.8411     -0.8409
######## gamma=10.0 beta=100.0 T_free=8 ########
   10.0 |    0.3191    0.0769 |       1.0000      0.7034      0.7033
######## gamma=10.0 beta=100.0 T_free=9 ########
   10.0 |    0.3191    0.1560 |       1.0000      0.9477      0.9474
######## gamma=10.0 beta=100.0 T_free=10 ########
   10.0 |    0.3191    0.2058 |       1.0000      0.9700      0.9697
Exit code: 0
