######## seed=0 gamma_code=10.0 float32 ########
   10.0 |    0.3191    0.2703 |       1.0000      0.9881      0.9882
######## seed=0 gamma_code=10.0 float64 ########
   10.0 |    0.3372    0.2771 |       0.9999      0.9421      0.9427
######## seed=0 gamma_code=100.0 float32 ########
  100.0 |    0.2814    0.2051 |       0.9976      0.8458      0.8476
######## seed=0 gamma_code=100.0 float64 ########
  100.0 |    0.3017    0.2074 |       0.9930      0.6581      0.6410
######## seed=1 gamma_code=10.0 float32 ########
   10.0 |    0.3356    0.2672 |       1.0000      0.9828      0.9831
######## seed=1 gamma_code=10.0 float64 ########
   10.0 |    0.3009    0.2486 |       0.9999      0.9497      0.9499
######## seed=1 gamma_code=100.0 float32 ########
  100.0 |    0.2975    0.1991 |       0.9966      0.8293      0.8253
######## seed=1 gamma_code=100.0 float64 ########
  100.0 |    0.2700    0.2155 |       0.9939      0.7166      0.7111
######## seed=2 gamma_code=10.0 float32 ########
   10.0 |    0.3170    0.2613 |       1.0000      0.9847      0.9849
######## seed=2 gamma_code=10.0 float64 ########
   10.0 |    0.3445    0.2949 |       0.9999      0.9388      0.9398
######## seed=2 gamma_code=100.0 float32 ########
  100.0 |    0.3040    0.1934 |       0.9429      0.8400      0.7933
######## seed=2 gamma_code=100.0 float64 ########
  100.0 |    0.3163    0.2474 |       0.9926      0.7365      0.7393
######## seed=3 gamma_code=10.0 float32 ########
   10.0 |    0.2888    0.2440 |       1.0000      0.9880      0.9882
######## seed=3 gamma_code=10.0 float64 ########
   10.0 |    0.3263    0.2620 |       1.0000      0.9643      0.9646
######## seed=3 gamma_code=100.0 float32 ########
  100.0 |    0.2529    0.2131 |       0.9975      0.8518      0.8528
######## seed=3 gamma_code=100.0 float64 ########
  100.0 |    0.2931    0.2386 |       0.9947      0.7144      0.7091
Exit code: 0
